Reference, Value, Footprint,Componente,Valor,Cantiad
C9,100nF,c_0805,C,100nF,20
C12,100nF,c_0805,Borneras 1x2,Tornillo,3
C10,100nF,c_0805,Tira de Pines,1x20,4
C11,100nF,c_0805,Transistores,2N7002,5
C1,100nF,Capacitors_SMD:C_0805,,ST3232E,2
C2,100nF,Capacitors_SMD:C_0805,,LM317_SOT223,2
C4,100nF,Capacitors_SMD:C_0805,,MURS360T3G,2
C5,100nF,Capacitors_SMD:C_0805,,MMZ1608B601C,1
C3,100nF,Capacitors_SMD:C_0805,,,
C7,1000uF,Capacitors_ThroughHole:C_Radial_D10_L20_P5,,,
C8,10uF,Capacitors_ThroughHole:C_Radial_D10_L25_P5,,,
C6,470uF,Capacitors_ThroughHole:C_Radial_D13_L21_P5,,,
J4,TB_1X2,Connect:bornier2,,,
J1,TB_1X2,Connect:bornier2,,,
J2,TB_1X2,Connect:bornier2,,,
J3,TB_1X2,Connect:bornier2,,,
J5,TB_1X2,Connect:bornier2,,,
J6,TB_1X2,Connect:bornier2,,,
J8,TB_1X2,Connect:bornier2,,,
J9,TB_1X2,Connect:bornier2,,,
J10,TB_1X2,Connect:bornier2,,,
J7,TB_1X2,Connect:bornier2,,,
D10,LED,LED-0805,,,
D8,LED,LED-0805,,,
D11,LED,LED-0805,,,
D9,LED,LED-0805,,,
D4,LED red,LEDs:LED_1206,,,
D5,LED,LEDs:LED_1206,,,
P8,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,,,
P6,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,,,
P9,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,,,
P10,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,,,
P7,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,,,
P3,CONN_01X06,Pin_Headers:Pin_Header_Angled_1x06,,,
P4,CONN_01X06,Pin_Headers:Pin_Header_Angled_1x06,,,
P12,CONN_01X06,Pin_Headers:Pin_Header_Angled_1x06,,,
P11,CONN_01X06,Pin_Headers:Pin_Header_Angled_1x06,,,
P5,CONN_02X02,Pin_Headers:Pin_Header_Angled_2x02,,,
P1,CONN_02X02,Pin_Headers:Pin_Header_Straight_2x02,,,
v_out_1,POT,Potentiometers:Potentiometer_Alps-RK16-single_largePads,,,
v_out_2,POT,Potentiometers:Potentiometer_Alps-RK16-single_largePads,,,
v_current1,POT,Potentiometers:Potentiometer_Trimmer-Piher_PT15-V15_horizontal,,,
v_tension1,POT,Potentiometers:Potentiometer_Trimmer-Piher_PT15-V15_horizontal,,,
SW1,TEC_1,PUSH_SWITCH_THT,,,
SW4,TEC_1,PUSH_SWITCH_THT,,,
SW2,TEC_1,PUSH_SWITCH_THT,,,
SW3,TEC_1,PUSH_SWITCH_THT,,,
R1,1k,SMD_Packages:SMD-1206_Pol,,,
R2,R,SMD_Packages:SMD-1206_Pol,,,
R3,R,SMD_Packages:SMD-1206_Pol,,,
R4,R,SMD_Packages:SMD-1206_Pol,,,
R6,R,SMD_Packages:SMD-1206_Pol,,,
R5,R,SMD_Packages:SMD-1206_Pol,,,
R21,10k,SMD_Packages:SMD-1206_Pol,,,
R23,680,SMD_Packages:SMD-1206_Pol,,,
R20,330k,SMD_Packages:SMD-1206_Pol,,,
R7,1k,SMD_Packages:SMD-1206_Pol,,,
R11,10k,SMD_Packages:SMD-1206_Pol,,,
R16,10k,SMD_Packages:SMD-1206_Pol,,,
R17,680,SMD_Packages:SMD-1206_Pol,,,
R15,330k,SMD_Packages:SMD-1206_Pol,,,
R25,10k,SMD_Packages:SMD-1206_Pol,,,
R26,680,SMD_Packages:SMD-1206_Pol,,,
R24,330k,SMD_Packages:SMD-1206_Pol,,,
R19,10k,SMD_Packages:SMD-1206_Pol,,,
R22,680,SMD_Packages:SMD-1206_Pol,,,
R18,330k,SMD_Packages:SMD-1206_Pol,,,
R10,1k,SMD_Packages:SMD-1206_Pol,,,
R14,10k,SMD_Packages:SMD-1206_Pol,,,
R8,1k,SMD_Packages:SMD-1206_Pol,,,
R12,10k,SMD_Packages:SMD-1206_Pol,,,
R9,1k,SMD_Packages:SMD-1206_Pol,,,
R13,10k,SMD_Packages:SMD-1206_Pol,,,
Q4,2N7002,SOT23GDS,,,
Q2,2N7002,SOT23GDS,,,
Q5,2N7002,SOT23GDS,,,
Q3,2N7002,SOT23GDS,,,
Q1,BC849,TO_SOT_Packages_SMD:SOT-23,,,
U2,LM2576HVS-5,TO-263-5,,,
U1,ST3232E,,,,
U3,NCP1117ST33T3G,,ok,,
L1,100uH,,ok,,
D1,MURS360T3G,,,,
D2,1N5822,,,,
D3,PMEG3020EH,,,,
FB1,MMZ1608B601C,,,,
FB2,MMZ1608B601C,,,,
ZA2,SMAZ5V6,,ok,,
P2,USB_OTG,,,,
D6,"ZENER_4,3V_1N4731",,,,
D7,DIODE_1N4007,,ok,,
U5,LM317_SOT223,,,,
U4,LM317_SOT223,,,,
U6,LM35-LP,,,,
RV3,POT,,,,
